"id","latitude","longitude"
"1412817","37.3026104","-79.9802376"
"1412823","37.316009","-79.9952487"
"1412842","36.9893998","-79.9099599"
"1412846","37.2739705","-79.8903552"
"1412878","36.6875537","-79.8696486"
"1412903","37.2784726","-80.0537979"
"1412920","37.2608494","-79.9961133"
"1413019","37.2660367","-80.0211697"
"1413023","37.1022005","-79.8173521"
"1413024","37.2535886","-79.9864277"
"1413026","37.2904376","-80.0363875"
"1413028","36.6443319","-79.8209198"
"1413049","37.2738499","-80.0549282"
"1413066","37.2645106","-79.9459825"
"1413071","37.2997992","-80.0189152"
"1413072","37.3062001","-80.0054895"
"1413075","36.9696728","-79.8609591"
"1413080","37.0065874","-79.8943922"
"1413130","37.2541289","-79.9414921"
"1413134","37.1967674","-80.0311364"
"1413144","37.3094369","-79.8859724"
"1413150","37.2556144","-80.0143946"
"1413153","37.323961","-79.997424"
"1413160","37.2603023","-79.9810683"
"1413170","36.6966879","-79.9553518"
"1413171","37.2997759","-80.0188123"
"1413191","37.2510404","-79.9630353"
"1413200","36.6850338","-79.8552347"
"1413203","36.6532715","-79.6954829"
"1413204","36.7393023","-79.9499166"
"1413205","36.6860563","-79.8642012"
"1413212","36.6906037","-79.8695716"
"1413216","36.6868779","-79.8658115"
"1413224","36.9945574","-79.8972296"
"1413231","36.9916122","-79.8856387"
"1413296","37.3469429","-79.9512459"
"1413327","37.3100904","-79.8908573"
"1413341","37.2680466","-79.8662825"
"1413378","37.2842856","-79.9625405"
"1413383","37.2749292","-79.8949742"
"1413388","36.7276064","-79.912405"
"1413442","37.2704015","-79.9238428"
"1413443","37.3282244","-79.8710815"
"1413444","37.2780276","-80.0179423"
"1413445","37.3062465","-79.8919246"
"1413446","37.2934681","-80.0547626"
"1413447","37.3508554","-79.9523504"
"1413448","37.2219886","-79.9670561"
"1413483","37.3489355","-79.9419673"
"1413484","37.2281353","-80.0104328"
"1413492","37.2732333","-79.9568017"
"1413495","37.3467089","-79.9601237"
"1413497","37.2724265","-80.138881"
"1413499","37.2897927","-80.0366441"
"1413551","37.2123132","-79.9858828"
"1413553","37.2847159","-79.9948283"
"1413554","37.2492121","-79.9454687"
"1413555","37.325288","-79.9946209"
"1413561","37.2804169","-79.8641772"
"1413562","37.292924","-80.061988"
"1413563","37.3117027","-80.053664"
"1413564","37.2465449","-79.9456984"
"1413565","37.1967674","-80.0311364"
"1413566","37.2877856","-80.0546982"
"1413567","37.4988928","-80.1078532"
"1413571","37.2658245","-80.0246399"
"1413573","37.3352535","-79.973432"
"1413577","37.3053848","-80.0246392"
"1413578","37.2661194","-79.8595015"
"1413579","37.2752176","-79.952096"
"1413580","37.287691","-79.940304"
"1413708","37.2650124","-79.9441411"
"1413783","37.0166946","-79.888191"
"1413787","37.3035938","-80.0070061"
"1413792","36.7055592","-79.8697806"
"1413809","36.9164027","-80.3092386"
"1413874","36.7568984","-80.7368493"
"1413879","36.832747","-80.7259749"
"1413885","36.9708009","-81.1173026"
"1413903","36.8915347","-81.2758913"
"1413907","36.6078633","-80.6248154"
"1413915","36.9599065","-81.071987"
"1413920","36.7449225","-80.766002"
"1413933","36.6992886","-80.8652355"
"1413983","36.9282802","-80.9406663"
"1413988","37.1527685","-81.1499908"
"1414010","37.3234001","-80.7213324"
"1414011","37.0614532","-80.7657794"
"1414013","37.0839436","-80.7191462"
"1414018","37.1168508","-80.1344391"
"1414024","37.1665131","-80.4164385"
"1414025","37.1675009","-80.2544593"
"1414026","37.2132689","-80.4449352"
"1414027","37.2181036","-80.405053"
"1414028","37.2038411","-80.4067023"
"1414031","37.2229037","-80.4242247"
"1414041","37.145896","-80.565387"
"1414074","36.6947601","-80.8740855"
"1414089","36.6283649","-80.2710994"
"1414101","37.2229274","-80.4492193"
"1414113","37.3275869","-80.7323274"
"1414114","37.3289402","-80.6702749"
"1414116","37.1747016","-80.4182991"
"1414117","37.1354871","-80.378088"
"1414119","37.2015579","-80.4046277"
"1414125","37.1435823","-80.4166473"
"1414126","36.908585","-80.3183294"
"1414133","36.7875438","-80.274919"
"1414137","37.1205231","-80.5692887"
"1414143","37.1578058","-80.4168525"
"1414147","37.1965505","-80.404426"
"1414148","37.2109995","-80.4664892"
"1414153","37.1242106","-80.5358419"
"1414162","37.2351632","-80.4323306"
"1414168","37.1372686","-80.3483672"
"1424520","37.2165333","-80.4040377"
"1424523","37.1401974","-80.3517659"
"1425766","37.1665131","-80.4164385"
"1425771","37.2992154","-80.0082296"
"1426683","37.2997681","-80.0189517"
"1432970","36.9980433","-79.9025902"
"1518363","37.3259234","-80.7184209"
"1518364","37.3249478","-80.7193194"
"1524369","37.1241526","-80.3979433"
"1531667","36.967426","-81.1131288"
"1532402","37.1494271","-80.5729222"
"1539733","36.6975995","-79.9380179"
"1605155","37.250893","-79.9185901"
"1659136","36.7889892","-80.2779995"
"1661701","36.915367","-80.9575318"
"1745746","36.6436336","-79.821653"
"1749124","36.9518568","-81.0830739"
"1750899","37.2822422","-79.9803947"
"1778666","37.2251762","-79.9857529"
"1778755","37.2148615","-80.3587044"
"1780684","36.7055649","-79.8697673"
"1784237","37.2657868","-79.9188953"
"1784723","37.0563875","-80.7652177"
"1791373","36.9916206","-79.8857017"
"1795038","37.2923564","-79.978946"
"1795116","36.6669861","-80.9240518"
"1797210","37.2775496","-79.9552491"
"1800537","37.3219061","-79.9520695"
"1804831","36.7399268","-79.8866218"
"1806492","37.048543","-80.786707"
"1807350","37.1995552","-80.4020917"
"1809364","36.8915347","-81.2758913"
"1809376","36.6967504","-80.8719387"
"1811498","37.1665131","-80.4164385"
"1813504","37.1494271","-80.5729222"
"1813534","37.1002323","-81.114386"
"1815111","36.6905295","-79.8823551"
"1815187","37.2858069","-79.977843"
"1817266","37.3219061","-79.9520695"
"1818438","36.7484633","-79.9790549"
"1818444","36.9835043","-80.2225677"
"1819064","37.2929555","-79.9143883"
"1819451","37.1205231","-80.5692887"
"1412812","37.2857289","-79.8782349"
"1412814","37.309849","-79.9342348"
"1412819","36.6616288","-79.9355053"
"1412865","37.2699167","-79.9273044"
"1412866","37.2870885","-80.0044508"
"1413136","37.3105489","-80.0245117"
"1413143","37.3172193","-80.0180858"
"1413145","37.2893754","-79.9418516"
"1413161","37.299941","-79.9806084"
"1413236","36.6476582","-79.9780397"
"1413238","37.0073413","-79.8689567"
"1413243","36.6507906","-79.9583097"
"1413244","37.0051822","-79.861216"
"1413245","36.7190065","-79.9654542"
"1413248","36.711797","-79.854029"
"1413249","36.6808877","-79.8465898"
"1413253","37.1211486","-79.9550754"
"1413254","36.6770858","-79.8836261"
"1413258","37.2501008","-80.0299894"
"1413384","37.3078969","-79.9572377"
"1413387","37.306158","-80.0193025"
"1413412","37.2817872","-79.9102404"
"1413423","37.2918859","-79.9819657"
"1413472","37.2901076","-79.9828063"
"1413474","37.281535","-79.864404"
"1413482","37.1735165","-79.9406431"
"1413485","37.2923008","-79.9606031"
"1413487","37.2871413","-79.9758316"
"1413489","37.3348925","-79.9397533"
"1413494","37.2826524","-79.9629194"
"1413500","37.3041929","-79.9929304"
"1413552","37.2508111","-80.0180286"
"1413570","37.312102","-79.9406276"
"1413572","37.3175165","-79.9538949"
"1413574","37.1010434","-79.8901221"
"1413891","36.6770053","-80.9220834"
"1413893","36.6579378","-80.9277449"
"1413894","36.6827568","-80.6835842"
"1413897","36.8325197","-80.8592326"
"1413898","36.6871249","-80.8575196"
"1413900","36.7572453","-80.8132746"
"1413921","36.8108796","-80.8131258"
"1413931","36.9383311","-81.0846371"
"1414032","37.1250338","-80.3919228"
"1414033","37.1335705","-80.394397"
"1414034","37.0443903","-80.7766151"
"1414035","37.1396876","-80.3447356"
"1414036","37.2118575","-80.5576103"
"1414037","37.1236896","-80.4370636"
"1414042","37.0680492","-80.3970166"
"1414043","37.1203988","-80.5632785"
"1414047","37.056565","-80.698577"
"1414048","36.9602358","-80.3894161"
"1414077","36.6666087","-80.9386724"
"1414087","36.5800008","-80.2457887"
"1414123","36.6265296","-80.1952219"
"1414124","36.7172361","-80.1228594"
"1415080","36.7189912","-79.9654374"
"1423878","37.3071266","-79.9967397"
"1424104","37.2889626","-79.9588112"
"1426990","37.018665","-79.9962934"
"1491736","37.3054769","-80.0187115"
"1499141","37.0030579","-79.8957996"
"1506338","36.7298539","-79.9174993"
"1514415","37.007608","-80.319023"
"1514416","37.2433955","-79.9883951"
"1514417","37.3388099","-79.9812049"
"1535427","37.2953954","-79.856769"
"1543435","36.6765033","-80.8943501"
"1543565","36.6888541","-79.8050562"
"1547830","37.3451414","-79.9464852"
"1548489","37.2932448","-79.9616462"
"1612495","37.3156887","-80.0183341"
"1750930","36.8931667","-81.2840979"
"1793833","36.9835043","-80.2225677"
"1794291","36.6490844","-80.868804"
"1804952","36.8400364","-80.9611522"
"1819966","37.2915417","-79.9883838"
"1412829","37.28582","-80.0563073"
"1412848","37.2527241","-80.0125506"
"1412880","37.2967628","-80.0748823"
"1412884","37.2036908","-79.9829301"
"1412886","37.0133339","-79.8959401"
"1412887","37.3232205","-79.9403969"
"1412890","37.2362157","-79.9714146"
"1412902","37.2883158","-79.9005324"
"1413018","37.3107842","-79.9480698"
"1413021","37.2494784","-79.9742053"
"1413043","37.2943847","-79.9717532"
"1413044","37.2508095","-79.9905783"
"1413067","37.309142","-79.9449231"
"1413074","37.2701674","-79.9509598"
"1413078","37.283066","-79.88272"
"1413079","37.2035304","-79.9512938"
"1413127","37.288616","-80.0528811"
"1413156","37.2257996","-80.0004279"
"1413157","37.2676588","-79.9543978"
"1413158","37.2769399","-79.9207787"
"1413159","37.2710707","-79.9225348"
"1413165","37.2463002","-80.0339883"
"1413166","36.6610736","-79.7135333"
"1413168","37.2156215","-79.9248598"
"1413175","36.6876877","-79.8682712"
"1413176","36.6848942","-79.8561075"
"1413178","37.2721095","-79.9633362"
"1413179","36.7146205","-80.0510474"
"1413180","36.6918535","-79.8857699"
"1413194","37.276696","-80.0278811"
"1413207","37.0907328","-79.9300479"
"1413208","37.1012315","-79.8164547"
"1413211","37.0790539","-79.7500643"
"1413215","37.1688963","-79.8661983"
"1413227","36.606774","-79.8606638"
"1413229","36.6862599","-79.8118142"
"1413230","36.7371299","-79.9400191"
"1413261","37.334949","-79.9362282"
"1413328","36.923114","-80.026598"
"1413329","37.0197596","-79.8657336"
"1413330","36.9876875","-79.7485072"
"1413347","37.2777618","-80.0828912"
"1413385","37.2910561","-80.0416164"
"1413449","37.2369261","-79.9065901"
"1413450","37.3204507","-80.0201373"
"1413451","37.2746144","-79.8789357"
"1413452","37.1995623","-80.0725177"
"1413453","37.2312238","-79.9881548"
"1413454","37.3651922","-80.0608458"
"1413455","37.2036567","-79.9992856"
"1413456","37.3188588","-79.9353546"
"1413457","37.2479577","-79.972206"
"1413458","37.2860023","-79.9958174"
"1413459","37.2445647","-79.9523206"
"1413460","37.2463228","-79.9908538"
"1413461","37.2630329","-79.9504848"
"1413462","37.2587588","-79.9679343"
"1413463","37.2664415","-79.9764295"
"1413488","37.2575043","-79.923946"
"1413496","37.2607428","-79.9214195"
"1413560","37.2778913","-79.93842"
"1413796","37.2133597","-80.0168109"
"1413797","37.3313491","-79.881833"
"1413798","37.3382199","-79.9930481"
"1414015","37.1704619","-80.51097"
"1414019","37.199364","-80.233114"
"1414020","37.1261939","-80.3720653"
"1414021","37.26779","-80.4161777"
"1414022","37.0611106","-80.445951"
"1414044","37.1172013","-80.5884105"
"1414107","37.1728465","-80.2480944"
"1414109","37.1436294","-80.4159594"
"1414110","37.2154988","-80.4493405"
"1414111","37.1224813","-80.4253917"
"1414152","36.656177","-80.9217242"
"1414161","37.0197596","-79.8657336"
"1420381","37.2360657","-80.0229605"
"1425134","37.2948669","-79.8912508"
"1425189","36.8339021","-79.7546641"
"1425190","36.8490314","-79.9284831"
"1425191","37.0118353","-80.047613"
"1425272","36.7876013","-80.694676"
"1428679","36.7571493","-79.9825788"
"1432906","37.1322885","-80.4154386"
"1493507","37.2883874","-79.9452181"
"1493508","37.3008704","-79.9954135"
"1499111","36.9714305","-81.0821058"
"1518358","37.3254526","-80.7257294"
"1532311","36.9504126","-80.3742598"
"1532387","37.0592166","-80.7416448"
"1532391","37.0768328","-80.7547859"
"1532392","37.1017949","-80.6784281"
"1532393","37.1521549","-80.564234"
"1534847","37.28226","-79.9416112"
"1534852","37.244773","-79.9882859"
"1534854","37.265652","-79.9777993"
"1534855","37.2901776","-79.9684478"
"1534870","36.6727042","-79.8433696"
"1536472","36.9949913","-79.8790333"
"1536473","37.1994493","-80.2330553"
"1538548","37.2388627","-80.4195102"
"1540837","36.6995177","-80.8783634"
"1540840","37.0233222","-80.5926775"
"1545250","37.2795871","-80.1376837"
"1561677","36.9763465","-79.8960547"
"1659199","37.2473263","-80.4493405"
"1661181","36.926927","-79.8401296"
"1661249","37.2145148","-80.4078778"
"1667985","36.787907","-80.697391"
"1667987","36.6995177","-80.8783634"
"1668037","37.1398993","-80.3791784"
"1751260","37.2664267","-79.9415871"
"1751333","37.2802559","-79.8957232"
"1751338","37.2857137","-80.0518333"
"1751341","37.3435534","-79.9610852"
"1751353","37.2147902","-80.4610296"
"1778663","37.3066983","-79.8898149"
"1778750","36.7032025","-79.8481215"
"1778978","37.2621264","-79.9862457"
"1791277","37.126271","-80.3721285"
"1791281","37.1323123","-80.415452"
"1791282","37.2158857","-80.4567184"
"1791283","37.2142894","-80.4058741"
"1791335","37.2821523","-80.1134433"
"1791392","36.674911","-80.9074824"
"1795750","36.7501535","-79.8802357"
"1803053","36.9105539","-80.3078575"
"1803057","36.6720439","-79.9381577"
"1803326","37.061389","-80.4458649"
"1809390","37.2745186","-79.9159072"
"1819484","37.366224","-80.0613941"
"1412803","37.1967674","-80.0311364"
"1412805","36.7066696","-79.8698462"
"1412816","37.2257996","-80.0004279"
"1412818","36.7240046","-79.9136731"
"1412847","37.205864","-79.961845"
"1412853","36.7246519","-79.9168652"
"1412882","37.1121471","-79.9469951"
"1412907","37.276696","-80.0278811"
"1412908","37.28582","-80.0563073"
"1412911","36.74929","-79.880405"
"1413020","37.2891283","-80.0544671"
"1413051","37.0909483","-79.929414"
"1413052","37.1013613","-79.8162977"
"1413053","37.0118353","-80.047613"
"1413054","37.0790539","-79.7500643"
"1413055","36.9228981","-80.0270465"
"1413056","36.9876875","-79.7485072"
"1413057","36.8489953","-79.9285862"
"1413058","36.995529","-79.8790519"
"1413059","37.0200344","-79.8659989"
"1413060","36.8338358","-79.754713"
"1413061","36.926927","-79.8401296"
"1413131","37.2527245","-79.9693505"
"1413132","37.2163692","-80.0191648"
"1413135","37.244773","-79.9882859"
"1413137","37.3234555","-79.9537795"
"1413138","37.3344593","-79.956451"
"1413139","37.2792029","-79.8917261"
"1413140","37.2135057","-80.0165848"
"1413141","37.2036567","-79.9992856"
"1413142","37.3038955","-79.8847201"
"1413151","37.3435534","-79.9610852"
"1413152","37.320394","-80.0201131"
"1413177","37.2480312","-79.9721818"
"1413181","37.2259526","-80.0096467"
"1413190","37.2453424","-80.0306129"
"1413192","37.2773991","-79.8733045"
"1413193","37.2579932","-79.983859"
"1413195","37.2828881","-79.8817564"
"1413197","37.0989073","-79.82243"
"1413201","36.9993737","-79.8879557"
"1413219","36.7052769","-79.8709482"
"1413221","36.6703968","-79.7344943"
"1413259","37.2828881","-79.8817564"
"1413260","37.2370025","-79.906535"
"1413268","36.7046148","-79.8692175"
"1413302","37.1688963","-79.8661983"
"1413331","37.0128083","-79.8969843"
"1413376","37.2883782","-79.9451965"
"1413377","37.24602","-79.9913837"
"1413393","36.6399692","-79.8719192"
"1413394","36.6862844","-79.8115772"
"1413395","36.6610736","-79.7135333"
"1413396","36.606774","-79.8606638"
"1413401","36.7571493","-79.9825788"
"1413402","36.7160584","-80.052172"
"1413403","36.7371299","-79.9400191"
"1413404","36.6716156","-79.9390715"
"1413424","37.285692","-79.9963564"
"1413425","37.2745186","-79.9159072"
"1413426","37.2180925","-79.9080757"
"1413427","37.2890003","-79.9654627"
"1413428","37.2279664","-79.929387"
"1413429","37.2630329","-79.9504848"
"1413430","37.318537","-79.934613"
"1413431","37.2607428","-79.9214195"
"1413432","37.3129468","-79.948221"
"1413433","37.2933013","-79.9664567"
"1413434","37.2972473","-79.9564627"
"1413435","37.2662661","-79.9765365"
"1413436","37.2587516","-79.9679421"
"1413437","37.3008704","-79.9954135"
"1413439","37.266606","-79.9415549"
"1413440","37.288084","-79.9550989"
"1413441","37.2766651","-79.9401694"
"1413464","37.1995623","-80.0725177"
"1413465","37.3313491","-79.881833"
"1413466","37.203489","-79.9514034"
"1413467","37.279818","-80.1375819"
"1413468","37.2307086","-79.9889373"
"1413469","37.366224","-80.0613941"
"1413470","37.3348905","-79.9363239"
"1413471","37.2745766","-79.8789209"
"1413473","37.4994921","-80.1088708"
"1413493","37.2752942","-80.0271639"
"1413556","37.2807564","-80.0518382"
"1413557","37.2927948","-80.0570656"
"1413558","37.2687691","-79.9459388"
"1413568","37.2821523","-80.1134433"
"1413569","37.2704409","-79.951886"
"1413575","37.3412729","-79.9420619"
"1413581","37.2755996","-79.9673814"
"1413582","37.2907329","-79.9944024"
"1413583","37.269703","-79.9254252"
"1413584","37.2844961","-79.9810451"
"1413585","37.2776864","-79.9164327"
"1413608","37.1415415","-79.6825125"
"1413784","37.2762561","-79.9654214"
"1413785","37.2453424","-80.0306129"
"1413786","37.2745766","-79.8789209"
"1413793","36.6602428","-79.7964026"
"1413808","37.3249294","-80.7280248"
"1413810","37.3141178","-80.5792563"
"1413811","37.326853","-80.8132059"
"1413815","36.689988","-80.697626"
"1413816","36.6994932","-80.878441"
"1413818","37.061389","-80.4458649"
"1413870","37.1012672","-81.122865"
"1413875","36.9365473","-80.9450976"
"1413881","36.6850677","-80.8907845"
"1413884","36.9714965","-81.0577316"
"1413886","36.9482358","-81.0810279"
"1413889","36.9507439","-81.0817287"
"1413906","36.7603502","-80.729459"
"1413948","36.6584847","-80.925023"
"1413970","37.1702114","-80.2505017"
"1413971","36.6426167","-80.8377626"
"1413972","36.787907","-80.697391"
"1413973","36.6873589","-80.6097544"
"1413974","36.6048331","-80.6900337"
"1413975","36.7973438","-80.8518768"
"1413985","36.6048331","-80.6900337"
"1413986","36.6687919","-80.9107399"
"1414012","37.1053143","-80.695875"
"1414014","37.1058831","-80.6867946"
"1414016","37.1259909","-80.5719489"
"1414017","37.1389316","-80.5576993"
"1414023","37.2305449","-80.4133737"
"1414029","37.2199804","-80.4668077"
"1414038","37.0412636","-80.7828356"
"1414039","37.2295527","-80.4124337"
"1414040","37.1575845","-80.4198143"
"1414045","37.1273564","-80.4124419"
"1414046","36.867156","-80.415664"
"1414056","36.8626327","-80.864414"
"1414057","36.9729528","-80.9510765"
"1414058","36.887405","-80.9917871"
"1414059","36.8164294","-81.1758703"
"1414060","36.952186","-81.0848758"
"1414061","36.9071316","-81.2646167"
"1414070","37.2335172","-80.4255292"
"1414079","36.9272261","-80.3107125"
"1414083","37.3245346","-80.7262089"
"1414084","37.3883897","-80.82928"
"1414085","36.9083652","-80.3331376"
"1414086","37.1427482","-80.4134461"
"1414088","36.6435051","-80.1995526"
"1414090","37.1206514","-80.5704529"
"1414093","37.2142894","-80.4058741"
"1414094","37.2097418","-80.4902601"
"1414095","37.2370164","-80.4254368"
"1414096","37.2610341","-80.4105261"
"1414097","37.1704619","-80.51097"
"1414098","37.1323123","-80.415452"
"1414099","37.1994493","-80.2330553"
"1414100","37.126271","-80.3721285"
"1414102","37.3284726","-80.8110756"
"1414108","37.2254791","-80.4073958"
"1414112","37.1880795","-80.4028993"
"1414115","37.1165161","-80.4147767"
"1414118","37.2254791","-80.4073958"
"1414120","37.0712636","-80.4423744"
"1414121","37.0534812","-80.7493253"
"1414122","36.7375834","-80.4010968"
"1414127","37.1350789","-80.4219308"
"1414128","37.1017949","-80.6784281"
"1414129","37.0233222","-80.5926775"
"1414130","37.1521549","-80.564234"
"1414131","37.0406425","-80.7508023"
"1414132","37.0592166","-80.7416448"
"1414134","37.1137256","-80.3925906"
"1414144","37.2356977","-80.408371"
"1414146","37.2109995","-80.4664892"
"1414163","36.6416222","-80.2760888"
"1414164","36.600208","-80.5100952"
"1414165","36.6435051","-80.1995526"
"1414249","36.7071409","-79.8685337"
"1414608","37.1994006","-80.4843909"
"1423105","36.787703","-80.2754116"
"1423879","36.6602428","-79.7964026"
"1424458","37.3221606","-79.994315"
"1424716","37.2822895","-79.8638621"
"1426729","36.9450736","-80.3112348"
"1428655","36.6912117","-80.6931305"
"1536443","37.0347792","-80.1643569"
"1536444","36.8632574","-80.4662863"
"1536459","36.9105539","-80.3078575"
"1545602","36.5654728","-80.3845516"
"1605195","37.1171999","-80.5884089"
"1612595","36.9763465","-79.8960547"
"1612596","37.0190299","-79.871088"
"1661169","37.2929524","-79.9143885"
"1662386","37.3165757","-79.9238406"
"1665331","36.7559671","-79.9852274"
"1776980","36.9548179","-80.3609495"
"1784230","37.3023474","-79.9964269"
"1787625","36.6687919","-80.9107399"
"1790365","37.1507456","-80.4091463"
"1795748","36.6876877","-79.8682712"
"1796207","37.2777618","-80.0828912"
"1796211","37.2967628","-80.0748823"
"1800042","37.1028388","-81.1134894"
"1802811","37.264979","-79.9459717"
"1802858","36.954473","-80.876014"
"1805765","37.3020729","-79.9426798"
"1807009","37.5160712","-80.0856575"
"1809391","37.1967674","-80.0311364"
"1815155","37.254279","-79.9927732"
"1816373","37.2949624","-79.8914562"
